county,date,labor.force,employed,unemployment,unemployment.rate
Sacramento County,2019-09-01,714700,691500,23200,3.2
San Benito County,2019-09-01,31400,30100,1200,3.8
San Bernardino County,2019-09-01,968900,935100,33900,3.5
San Diego County,2019-09-01,1593800,1548000,45800,2.9
San Francisco County,2019-09-01,588100,576900,11300,1.9
San Joaquin County,2019-09-01,328500,312500,16000,4.9
San Luis Obispo County,2019-09-01,139900,136300,3500,2.5
San Mateo County,2019-09-01,464100,455700,8400,1.8
Santa Barbara County,2019-09-01,218500,212000,6500,3
Santa Clara County,2019-09-01,1056900,1033000,23900,2.3
Santa Cruz County,2019-09-01,142800,138000,4700,3.3
Shasta County,2019-09-01,74700,72000,2800,3.7
Sierra County,2019-09-01,1390,1330,50,3.6
Siskiyou County,2019-09-01,17510,16720,790,4.5
Solano County,2019-09-01,209900,203200,6700,3.2
Sonoma County,2019-09-01,264000,258000,6000,2.3
Stanislaus County,2019-09-01,246200,234300,11900,4.8
Sutter County,2019-09-01,46100,43800,2300,5
Tehama County,2019-09-01,26110,24970,1150,4.4
Trinity County,2019-09-01,4760,4570,190,4
Tulare County,2019-09-01,204300,188100,16200,7.9
Tuolumne County,2019-09-01,21390,20620,770,3.6
Ventura County,2019-09-01,421400,407400,14100,3.3
Yolo County,2019-09-01,108800,105300,3500,3.2
Yuba County,2019-09-01,30400,28900,1500,4.9
Alameda County,1990-10-01,680200,652000,28100,4.1
Alpine County,1990-10-01,280,230,50,17.9
Amador County,1990-10-01,11750,11210,540,4.6
Butte County,1990-10-01,80700,75100,5600,6.9
Calaveras County,1990-10-01,13660,12910,750,5.5
Colusa County,1990-10-01,8190,7250,940,11.5
Contra Costa County,1990-10-01,437900,419200,18700,4.3
Del Norte County,1990-10-01,9960,9000,960,9.6
El Dorado County,1990-10-01,63900,61200,2700,4.2
Fresno County,1990-10-01,327200,289200,38000,11.6
Glenn County,1990-10-01,11380,10260,1120,9.8
Humboldt County,1990-10-01,57000,53100,3900,6.8
Imperial County,1990-10-01,48700,35200,13400,27.5
Inyo County,1990-10-01,7260,6770,490,6.7
Kern County,1990-10-01,258000,228700,29300,11.4
Kings County,1990-10-01,38300,34400,3900,10.2
Lake County,1990-10-01,20100,18390,1710,8.5
Lassen County,1990-10-01,10400,9590,800,7.7
Los Angeles County,1990-10-01,4479200,4208400,270900,6
Madera County,1990-10-01,41200,35800,5400,13.1
Marin County,1990-10-01,132200,128900,3300,2.5
Mariposa County,1990-10-01,6830,6520,310,4.5
Mendocino County,1990-10-01,39850,37390,2460,6.2
Merced County,1990-10-01,79200,70300,8800,11.1
Modoc County,1990-10-01,3860,3500,360,9.3
Mono County,1990-10-01,5170,4790,390,7.5
Monterey County,1990-10-01,171700,159100,12500,7.3
Napa County,1990-10-01,56800,54300,2400,4.2
Nevada County,1990-10-01,36960,35470,1490,4
Orange County,1990-10-01,1344300,1290300,54000,4
Placer County,1990-10-01,89700,86000,3700,4.1
Plumas County,1990-10-01,9620,8940,670,7
Riverside County,1990-10-01,542600,496800,45900,8.5
Sacramento County,1990-10-01,524600,499800,24800,4.7
San Benito County,1990-10-01,20400,18000,2400,11.8
San Bernardino County,1990-10-01,638800,597700,41000,6.4
San Diego County,1990-10-01,1218300,1154200,64100,5.3
San Francisco County,1990-10-01,410900,394900,16000,3.9
San Joaquin County,1990-10-01,227800,205600,22200,9.7
San Luis Obispo County,1990-10-01,98200,93300,5000,5.1
San Mateo County,1990-10-01,371600,361400,10200,2.7
Santa Barbara County,1990-10-01,192600,183400,9200,4.8
Santa Clara County,1990-10-01,849800,813200,36600,4.3
Santa Cruz County,1990-10-01,136200,128100,8100,5.9
Shasta County,1990-10-01,70600,65700,5000,7.1
Sierra County,1990-10-01,1620,1540,90,5.6
Siskiyou County,1990-10-01,19540,17670,1870,9.6
Solano County,1990-10-01,166100,157700,8400,5.1
Sonoma County,1990-10-01,211300,203700,7700,3.6
Stanislaus County,1990-10-01,181600,162200,19400,10.7
Sutter County,1990-10-01,32500,28500,4000,12.3
Tehama County,1990-10-01,20690,18920,1760,8.5
Trinity County,1990-10-01,5360,4880,480,9
Tulare County,1990-10-01,150000,132000,18000,12
Tuolumne County,1990-10-01,20090,19020,1080,5.4
Ventura County,1990-10-01,367000,343700,23300,6.3
Yolo County,1990-10-01,74700,69700,5000,6.7
Yuba County,1990-10-01,21800,19800,2000,9.2
Alameda County,1991-10-01,670700,634100,36600,5.5
Alpine County,1991-10-01,260,200,60,23.1
Amador County,1991-10-01,11990,11340,650,5.4
Butte County,1991-10-01,79200,72600,6600,8.3
Calaveras County,1991-10-01,13980,12900,1080,7.7
Colusa County,1991-10-01,8100,7100,1000,12.3
Contra Costa County,1991-10-01,432700,410000,22700,5.2
Del Norte County,1991-10-01,9700,8680,1020,10.5
El Dorado County,1991-10-01,65500,61500,4000,6.1
Fresno County,1991-10-01,336300,295100,41200,12.3
Glenn County,1991-10-01,10920,9740,1180,10.8
Humboldt County,1991-10-01,57500,53200,4300,7.5
Imperial County,1991-10-01,50700,36500,14200,28
Inyo County,1991-10-01,7070,6480,590,8.3
Kern County,1991-10-01,265300,231900,33400,12.6
Kings County,1991-10-01,38000,33500,4500,11.8
Lake County,1991-10-01,20770,18840,1940,9.3
Lassen County,1991-10-01,10580,9870,710,6.7
Los Angeles County,1991-10-01,4500200,4126800,373400,8.3
Madera County,1991-10-01,43600,38000,5600,12.8
Marin County,1991-10-01,132000,126900,5100,3.9
Mariposa County,1991-10-01,7110,6730,380,5.3
Mendocino County,1991-10-01,39630,36490,3140,7.9
Merced County,1991-10-01,78700,69900,8800,11.2
Modoc County,1991-10-01,3980,3620,360,9
Mono County,1991-10-01,5050,4450,600,11.9
Monterey County,1991-10-01,168000,155500,12500,7.4
Napa County,1991-10-01,55000,52600,2400,4.4
Nevada County,1991-10-01,39190,37120,2070,5.3
Orange County,1991-10-01,1322800,1250000,72800,5.5
Placer County,1991-10-01,91400,85700,5600,6.1
Plumas County,1991-10-01,9900,9300,600,6.1
Riverside County,1991-10-01,552900,493800,59100,10.7
Sacramento County,1991-10-01,529600,495400,34200,6.5
San Benito County,1991-10-01,21300,18600,2800,13.1
San Bernardino County,1991-10-01,643900,590400,53500,8.3
San Diego County,1991-10-01,1202900,1127100,75900,6.3
San Francisco County,1991-10-01,409700,387300,22400,5.5
San Joaquin County,1991-10-01,231900,207900,24000,10.3
San Luis Obispo County,1991-10-01,96600,91300,5400,5.6
San Mateo County,1991-10-01,369900,355700,14200,3.8
Santa Barbara County,1991-10-01,196100,185000,11200,5.7
Santa Clara County,1991-10-01,839200,791300,47900,5.7
Santa Cruz County,1991-10-01,137800,128600,9200,6.7
Shasta County,1991-10-01,69100,63000,6100,8.8
Sierra County,1991-10-01,1640,1560,80,4.9
Siskiyou County,1991-10-01,19320,17560,1770,9.2
Solano County,1991-10-01,167200,157800,9400,5.6
Sonoma County,1991-10-01,216600,206100,10500,4.8
Stanislaus County,1991-10-01,180100,158700,21500,11.9
Sutter County,1991-10-01,33800,29100,4700,13.9
Tehama County,1991-10-01,22160,20410,1750,7.9
Trinity County,1991-10-01,5050,4570,480,9.5
Tulare County,1991-10-01,155300,130200,25000,16.1
Tuolumne County,1991-10-01,20080,18580,1500,7.5
Ventura County,1991-10-01,366300,337100,29200,8
Yolo County,1991-10-01,74900,69700,5300,7.1
Yuba County,1991-10-01,22200,19800,2400,10.8
Alameda County,1992-10-01,678500,635900,42500,6.3
Alpine County,1992-10-01,260,210,60,23.1
Amador County,1992-10-01,12550,11550,1010,8
Butte County,1992-10-01,82300,73900,8400,10.2
Calaveras County,1992-10-01,15350,13730,1620,10.6
Colusa County,1992-10-01,8300,6780,1520,18.3
Contra Costa County,1992-10-01,443600,415200,28400,6.4
Del Norte County,1992-10-01,9780,8420,1360,13.9
El Dorado County,1992-10-01,66900,61700,5200,7.8
Fresno County,1992-10-01,346500,290400,56100,16.2
Glenn County,1992-10-01,11600,10060,1540,13.3
Humboldt County,1992-10-01,58700,53700,5000,8.5
Imperial County,1992-10-01,56800,37800,19000,33.5
Inyo County,1992-10-01,7260,6500,760,10.5
Kern County,1992-10-01,274000,226400,47600,17.4
Kings County,1992-10-01,40700,35200,5500,13.5
Lake County,1992-10-01,22380,19510,2870,12.8
Lassen County,1992-10-01,10740,9840,900,8.4
Los Angeles County,1992-10-01,4422300,3986200,436200,9.9
Madera County,1992-10-01,46200,38100,8100,17.5
Marin County,1992-10-01,130100,123600,6600,5.1
Mariposa County,1992-10-01,7070,6550,520,7.4
Mendocino County,1992-10-01,39840,35580,4250,10.7
Merced County,1992-10-01,83300,70300,13000,15.6
Modoc County,1992-10-01,4010,3590,420,10.5
Mono County,1992-10-01,5350,4600,740,13.8
Monterey County,1992-10-01,176100,159300,16800,9.5
Napa County,1992-10-01,58900,54200,4700,8
Nevada County,1992-10-01,39420,36550,2880,7.3
Orange County,1992-10-01,1337500,1245900,91700,6.9
Placer County,1992-10-01,92900,85800,7100,7.6
Plumas County,1992-10-01,9710,8820,900,9.3
Riverside County,1992-10-01,579800,507200,72500,12.5
Sacramento County,1992-10-01,528100,486700,41400,7.8
San Benito County,1992-10-01,21200,17800,3400,16
San Bernardino County,1992-10-01,667000,603700,63300,9.5
San Diego County,1992-10-01,1213700,1125200,88500,7.3
San Francisco County,1992-10-01,402900,376200,26800,6.7
San Joaquin County,1992-10-01,240800,207700,33100,13.7
San Luis Obispo County,1992-10-01,100300,93400,6900,6.9
San Mateo County,1992-10-01,366600,348500,18100,4.9
Santa Barbara County,1992-10-01,191900,177700,14200,7.4
Santa Clara County,1992-10-01,846800,790800,56000,6.6
Santa Cruz County,1992-10-01,139400,128800,10600,7.6
Shasta County,1992-10-01,74200,65900,8300,11.2
Sierra County,1992-10-01,1670,1540,130,7.8
Siskiyou County,1992-10-01,19330,16780,2550,13.2
Solano County,1992-10-01,175400,162700,12700,7.2
Sonoma County,1992-10-01,219200,205100,14100,6.4
Stanislaus County,1992-10-01,190100,159500,30600,16.1
Sutter County,1992-10-01,32800,27500,5300,16.2
Tehama County,1992-10-01,23470,20950,2520,10.7
Trinity County,1992-10-01,5130,4470,660,12.9
Tulare County,1992-10-01,157900,129100,28800,18.2
Tuolumne County,1992-10-01,20510,18490,2030,9.9
Ventura County,1992-10-01,373600,339400,34200,9.2
Yolo County,1992-10-01,82100,75900,6200,7.6
Yuba County,1992-10-01,22000,18600,3500,15.9
Alameda County,1993-10-01,679500,634900,44500,6.5
Alpine County,1993-10-01,240,200,40,16.7
Amador County,1993-10-01,12930,11910,1020,7.9
Butte County,1993-10-01,82900,74600,8300,10
Calaveras County,1993-10-01,15190,13620,1570,10.3
Colusa County,1993-10-01,8430,7050,1380,16.4
Contra Costa County,1993-10-01,443500,414500,28900,6.5
Del Norte County,1993-10-01,9790,8630,1150,11.7
El Dorado County,1993-10-01,67200,61900,5300,7.9
Fresno County,1993-10-01,358200,304600,53600,15
Glenn County,1993-10-01,11730,10180,1550,13.2
Humboldt County,1993-10-01,60200,54900,5300,8.8
Imperial County,1993-10-01,57200,39500,17700,30.9
Inyo County,1993-10-01,7180,6460,720,10
Kern County,1993-10-01,273100,229600,43500,15.9
Kings County,1993-10-01,40300,34900,5400,13.4
Lake County,1993-10-01,23210,20400,2810,12.1
Lassen County,1993-10-01,11070,10070,1000,9
Los Angeles County,1993-10-01,4304400,3883700,420700,9.8
Madera County,1993-10-01,46500,39900,6600,14.2
Marin County,1993-10-01,132200,125900,6400,4.8
Mariposa County,1993-10-01,7200,6570,620,8.6
Mendocino County,1993-10-01,41670,38030,3640,8.7
Merced County,1993-10-01,83700,71400,12300,14.7
Modoc County,1993-10-01,3940,3490,450,11.4
Mono County,1993-10-01,5510,4880,630,11.4
Monterey County,1993-10-01,176200,159900,16300,9.3
Napa County,1993-10-01,58700,53900,4800,8.2
Nevada County,1993-10-01,40810,37810,3010,7.4
Orange County,1993-10-01,1335300,1245800,89500,6.7
Placer County,1993-10-01,92800,86000,6800,7.3
Plumas County,1993-10-01,9630,8550,1080,11.2
Riverside County,1993-10-01,585800,513600,72200,12.3
Sacramento County,1993-10-01,530100,487800,42300,8
San Benito County,1993-10-01,21500,18700,2800,13
San Bernardino County,1993-10-01,677700,611300,66400,9.8
San Diego County,1993-10-01,1222900,1126000,96900,7.9
San Francisco County,1993-10-01,412000,383100,28900,7
San Joaquin County,1993-10-01,243100,211100,32000,13.2
San Luis Obispo County,1993-10-01,103700,95900,7800,7.5
San Mateo County,1993-10-01,373100,354900,18200,4.9
Santa Barbara County,1993-10-01,195000,180500,14500,7.4
Santa Clara County,1993-10-01,848300,790300,58000,6.8
Santa Cruz County,1993-10-01,141000,128500,12500,8.9
Shasta County,1993-10-01,74800,66900,7900,10.6
Sierra County,1993-10-01,1810,1670,130,7.2
Siskiyou County,1993-10-01,19620,17190,2430,12.4
Solano County,1993-10-01,175400,161900,13500,7.7
Sonoma County,1993-10-01,225200,211800,13400,6
Stanislaus County,1993-10-01,193600,163200,30400,15.7
Sutter County,1993-10-01,34300,28900,5500,16
Tehama County,1993-10-01,23800,21310,2490,10.5
Trinity County,1993-10-01,5130,4500,630,12.3
Tulare County,1993-10-01,161900,131700,30200,18.7
Tuolumne County,1993-10-01,20340,18280,2060,10.1
Ventura County,1993-10-01,378100,343900,34200,9
Yolo County,1993-10-01,82300,76100,6200,7.5
Yuba County,1993-10-01,22800,19400,3400,14.9
Alameda County,1994-10-01,681700,642600,39200,5.8
Alpine County,1994-10-01,290,260,30,10.3
Amador County,1994-10-01,12900,11990,910,7.1
Butte County,1994-10-01,82900,76000,6900,8.3
Calaveras County,1994-10-01,14340,12930,1410,9.8
Colusa County,1994-10-01,7760,6640,1120,14.4
Contra Costa County,1994-10-01,453600,426800,26800,5.9
Del Norte County,1994-10-01,10170,9060,1110,10.9
El Dorado County,1994-10-01,70400,66000,4400,6.2
Fresno County,1994-10-01,352600,305000,47600,13.5
Glenn County,1994-10-01,11690,10350,1340,11.5
Humboldt County,1994-10-01,60600,56400,4200,6.9
Imperial County,1994-10-01,59200,43200,16000,27
Inyo County,1994-10-01,7200,6550,650,9
Kern County,1994-10-01,265100,225400,39600,14.9
Kings County,1994-10-01,41500,36200,5300,12.8
Lake County,1994-10-01,22580,20040,2540,11.2
Lassen County,1994-10-01,11620,10760,860,7.4
Los Angeles County,1994-10-01,4296200,3932600,363700,8.5
Madera County,1994-10-01,46900,41000,5900,12.6
Marin County,1994-10-01,129900,124300,5600,4.3
Mariposa County,1994-10-01,7260,6730,530,7.3
Mendocino County,1994-10-01,41180,38100,3080,7.5
Merced County,1994-10-01,83600,72800,10800,12.9
Modoc County,1994-10-01,4310,3930,390,9
Mono County,1994-10-01,5840,5170,670,11.5
Monterey County,1994-10-01,173700,159300,14400,8.3
Napa County,1994-10-01,58500,55200,3300,5.6
Nevada County,1994-10-01,40710,38020,2690,6.6
Orange County,1994-10-01,1340400,1269300,71000,5.3
Placer County,1994-10-01,98700,92800,5900,6
Plumas County,1994-10-01,9940,9050,900,9.1
Riverside County,1994-10-01,602400,538100,64300,10.7
Sacramento County,1994-10-01,535200,498500,36700,6.9
San Benito County,1994-10-01,22000,19500,2500,11.4
San Bernardino County,1994-10-01,670100,617600,52500,7.8
San Diego County,1994-10-01,1228700,1145100,83700,6.8
San Francisco County,1994-10-01,403600,379100,24500,6.1
San Joaquin County,1994-10-01,239600,212400,27100,11.3
San Luis Obispo County,1994-10-01,102400,96200,6100,6
San Mateo County,1994-10-01,371300,355100,16200,4.4
Santa Barbara County,1994-10-01,196200,183400,12800,6.5
Santa Clara County,1994-10-01,850400,801500,48900,5.8
Santa Cruz County,1994-10-01,141900,131000,10900,7.7
Shasta County,1994-10-01,72800,65500,7300,10
Sierra County,1994-10-01,1860,1760,100,5.4
Siskiyou County,1994-10-01,19650,17530,2130,10.8
Solano County,1994-10-01,178500,165900,12700,7.1
Sonoma County,1994-10-01,229100,217700,11500,5
Stanislaus County,1994-10-01,190600,163300,27300,14.3
Sutter County,1994-10-01,33100,28800,4300,13
Tehama County,1994-10-01,25260,23140,2130,8.4
Trinity County,1994-10-01,5210,4650,560,10.7
Tulare County,1994-10-01,161500,135800,25700,15.9
Tuolumne County,1994-10-01,20700,18720,1980,9.6
Ventura County,1994-10-01,380700,351200,29500,7.7
Yolo County,1994-10-01,87100,81900,5100,5.9
Yuba County,1994-10-01,21500,18800,2800,13
Alameda County,1995-10-01,680600,641600,38900,5.7
Alpine County,1995-10-01,310,280,30,9.7
Amador County,1995-10-01,13310,12460,860,6.5
Butte County,1995-10-01,82700,76200,6500,7.9
Calaveras County,1995-10-01,14260,12950,1320,9.3
Colusa County,1995-10-01,8870,7760,1110,12.5
Contra Costa County,1995-10-01,453000,429200,23800,5.3
Del Norte County,1995-10-01,10200,9090,1110,10.9
El Dorado County,1995-10-01,72300,67800,4500,6.2
Fresno County,1995-10-01,373700,323200,50500,13.5
Glenn County,1995-10-01,11770,10510,1260,10.7
Humboldt County,1995-10-01,61700,57500,4200,6.8
Imperial County,1995-10-01,61200,40800,20500,33.5
Inyo County,1995-10-01,7170,6620,550,7.7
Kern County,1995-10-01,268600,231400,37200,13.8
Kings County,1995-10-01,42200,36000,6100,14.5
Lake County,1995-10-01,23640,21100,2540,10.7
Lassen County,1995-10-01,11470,10640,830,7.2
Los Angeles County,1995-10-01,4309800,3963600,346100,8
Madera County,1995-10-01,49200,43800,5400,11
Marin County,1995-10-01,128300,123100,5100,4
Mariposa County,1995-10-01,7720,7170,540,7
Mendocino County,1995-10-01,42790,39840,2950,6.9
Merced County,1995-10-01,80900,69600,11200,13.8
Modoc County,1995-10-01,4290,3920,370,8.6
Mono County,1995-10-01,5560,4840,720,12.9
Monterey County,1995-10-01,173900,160600,13300,7.6
Napa County,1995-10-01,57600,54800,2800,4.9
Nevada County,1995-10-01,39780,37170,2610,6.6
Orange County,1995-10-01,1324700,1258900,65800,5
Placer County,1995-10-01,102500,96600,5900,5.8
Plumas County,1995-10-01,9920,9100,820,8.3
Riverside County,1995-10-01,609600,552000,57600,9.4
Sacramento County,1995-10-01,536600,502600,34000,6.3
San Benito County,1995-10-01,23000,20600,2400,10.4
San Bernardino County,1995-10-01,679000,624900,54200,8
San Diego County,1995-10-01,1233100,1154500,78600,6.4
San Francisco County,1995-10-01,397100,374200,22900,5.8
San Joaquin County,1995-10-01,240600,215100,25500,10.6
San Luis Obispo County,1995-10-01,103000,97400,5600,5.4
San Mateo County,1995-10-01,369100,354400,14700,4
Santa Barbara County,1995-10-01,190600,179000,11600,6.1
Santa Clara County,1995-10-01,868900,831800,37100,4.3
Santa Cruz County,1995-10-01,138800,129300,9400,6.8
Shasta County,1995-10-01,73200,66800,6400,8.7
Sierra County,1995-10-01,1740,1650,90,5.2
Siskiyou County,1995-10-01,18780,16730,2050,10.9
Solano County,1995-10-01,174300,161400,13000,7.5
Sonoma County,1995-10-01,229700,219200,10500,4.6
Stanislaus County,1995-10-01,190000,164600,25400,13.4
Sutter County,1995-10-01,33400,29100,4300,12.9
Tehama County,1995-10-01,23320,21050,2270,9.7
Trinity County,1995-10-01,5380,4820,560,10.4
Tulare County,1995-10-01,157000,130100,26900,17.1
Tuolumne County,1995-10-01,19820,17820,2000,10.1
Ventura County,1995-10-01,379500,350900,28600,7.5
Yolo County,1995-10-01,87900,83100,4800,5.5
Yuba County,1995-10-01,20800,18300,2500,12
Alameda County,1996-10-01,689800,656800,33000,4.8
Alpine County,1996-10-01,310,260,50,16.1
Amador County,1996-10-01,13490,12800,690,5.1
Butte County,1996-10-01,84400,78600,5800,6.9
Calaveras County,1996-10-01,14260,13190,1070,7.5
Colusa County,1996-10-01,8560,7240,1320,15.4
Contra Costa County,1996-10-01,464400,443700,20800,4.5
Del Norte County,1996-10-01,10300,9390,910,8.8
El Dorado County,1996-10-01,74500,70400,4100,5.5
Fresno County,1996-10-01,360800,314700,46200,12.8
Glenn County,1996-10-01,11910,10640,1260,10.6
Humboldt County,1996-10-01,60600,56800,3800,6.3
Imperial County,1996-10-01,59500,40800,18700,31.4
Inyo County,1996-10-01,7440,6890,540,7.3
Kern County,1996-10-01,278100,242100,36000,12.9
Kings County,1996-10-01,41800,37500,4400,10.5
Lake County,1996-10-01,23890,21400,2490,10.4
Lassen County,1996-10-01,11820,11030,790,6.7
Los Angeles County,1996-10-01,4368400,4040000,328400,7.5
Madera County,1996-10-01,51000,43800,7200,14.1
Marin County,1996-10-01,129900,125800,4000,3.1
Mariposa County,1996-10-01,7530,7010,520,6.9
Mendocino County,1996-10-01,42890,40000,2890,6.7
Merced County,1996-10-01,82300,71100,11100,13.5
Modoc County,1996-10-01,4090,3780,320,7.8
Mono County,1996-10-01,5670,4980,680,12
Monterey County,1996-10-01,178400,166100,12300,6.9
Napa County,1996-10-01,59000,55700,3300,5.6
Nevada County,1996-10-01,40530,38180,2360,5.8
Orange County,1996-10-01,1350600,1298900,51700,3.8
Placer County,1996-10-01,106900,101800,5000,4.7
Plumas County,1996-10-01,9990,9300,690,6.9
Riverside County,1996-10-01,624900,573400,51500,8.2
Sacramento County,1996-10-01,545300,514700,30600,5.6
San Benito County,1996-10-01,25100,23000,2200,8.8
San Bernardino County,1996-10-01,692700,645900,46700,6.7
San Diego County,1996-10-01,1252400,1190800,61600,4.9
San Francisco County,1996-10-01,400800,383800,17000,4.2
San Joaquin County,1996-10-01,243000,219500,23500,9.7
San Luis Obispo County,1996-10-01,103900,98700,5200,5
San Mateo County,1996-10-01,378100,366500,11600,3.1
Santa Barbara County,1996-10-01,193100,182900,10200,5.3
Santa Clara County,1996-10-01,908100,876200,31900,3.5
Santa Cruz County,1996-10-01,140500,131900,8600,6.1
Shasta County,1996-10-01,72800,66900,5900,8.1
Sierra County,1996-10-01,1700,1610,90,5.3
Siskiyou County,1996-10-01,18820,17030,1790,9.5
Solano County,1996-10-01,175700,163300,12400,7.1
Sonoma County,1996-10-01,235200,226600,8600,3.7
Stanislaus County,1996-10-01,195100,170300,24700,12.7
Sutter County,1996-10-01,33300,29200,4000,12
Tehama County,1996-10-01,23310,21490,1820,7.8
Trinity County,1996-10-01,5130,4570,560,10.9
Tulare County,1996-10-01,160800,134900,25900,16.1
Tuolumne County,1996-10-01,19390,17840,1550,8
Ventura County,1996-10-01,378200,351000,27200,7.2
Yolo County,1996-10-01,86700,82200,4600,5.3
Yuba County,1996-10-01,20700,18200,2400,11.6
Alameda County,1997-10-01,698900,669800,29100,4.2
Alpine County,1997-10-01,320,280,40,12.5
Amador County,1997-10-01,13190,12560,630,4.8
Butte County,1997-10-01,85000,79300,5700,6.7
Calaveras County,1997-10-01,13610,12550,1060,7.8
Colusa County,1997-10-01,8750,7270,1480,16.9
Contra Costa County,1997-10-01,472500,454500,18000,3.8
Del Norte County,1997-10-01,10250,9320,940,9.2
El Dorado County,1997-10-01,76100,72400,3700,4.9
Fresno County,1997-10-01,366400,316300,50200,13.7
Glenn County,1997-10-01,11200,10130,1070,9.6
Humboldt County,1997-10-01,60500,56600,3900,6.4
Imperial County,1997-10-01,57000,40800,16200,28.4
Inyo County,1997-10-01,7290,6740,550,7.5
Kern County,1997-10-01,278400,244100,34400,12.4
Kings County,1997-10-01,42300,37100,5200,12.3
Lake County,1997-10-01,23020,20880,2140,9.3
Lassen County,1997-10-01,11630,10930,700,6
Los Angeles County,1997-10-01,4460800,4181200,279600,6.3
Madera County,1997-10-01,50300,44200,6000,11.9
Marin County,1997-10-01,131900,128300,3600,2.7
Mariposa County,1997-10-01,7000,6540,460,6.6
Mendocino County,1997-10-01,43500,40900,2600,6
Merced County,1997-10-01,82100,71300,10800,13.2
Modoc County,1997-10-01,3800,3450,350,9.2
Mono County,1997-10-01,5580,4910,670,12
Monterey County,1997-10-01,180800,168300,12500,6.9
Napa County,1997-10-01,60500,57300,3200,5.3
Nevada County,1997-10-01,40740,38640,2100,5.2
Orange County,1997-10-01,1393300,1350000,43300,3.1
Placer County,1997-10-01,110300,105900,4400,4
Plumas County,1997-10-01,9640,9040,610,6.3
Riverside County,1997-10-01,643800,594400,49300,7.7
Sacramento County,1997-10-01,554600,526000,28600,5.2
San Benito County,1997-10-01,25800,23600,2200,8.5
San Bernardino County,1997-10-01,706800,664000,42800,6.1
San Diego County,1997-10-01,1287500,1236800,50700,3.9
San Francisco County,1997-10-01,412000,395400,16600,4
San Joaquin County,1997-10-01,244100,220700,23400,9.6
San Luis Obispo County,1997-10-01,107200,102600,4500,4.2
San Mateo County,1997-10-01,386700,377400,9300,2.4
Santa Barbara County,1997-10-01,195800,186800,9000,4.6
Santa Clara County,1997-10-01,943000,917000,25900,2.7
Santa Cruz County,1997-10-01,141000,132500,8500,6
Shasta County,1997-10-01,74000,68400,5600,7.6
Sierra County,1997-10-01,1720,1620,90,5.2
Siskiyou County,1997-10-01,18630,16990,1650,8.9
Solano County,1997-10-01,179800,169600,10200,5.7
Sonoma County,1997-10-01,242900,235000,7900,3.3
Stanislaus County,1997-10-01,196200,172700,23500,12
Sutter County,1997-10-01,35200,30900,4300,12.2
Tehama County,1997-10-01,24400,22650,1750,7.2
Trinity County,1997-10-01,5010,4480,520,10.4
Tulare County,1997-10-01,158200,132900,25200,15.9
Tuolumne County,1997-10-01,19700,18280,1420,7.2
Ventura County,1997-10-01,383400,357900,25600,6.7
Yolo County,1997-10-01,86000,81800,4300,5
Yuba County,1997-10-01,20900,18700,2200,10.5
Alameda County,1998-10-01,707500,677400,30200,4.3
Alpine County,1998-10-01,310,260,40,12.9
Amador County,1998-10-01,13250,12670,590,4.5
Butte County,1998-10-01,86300,80700,5500,6.4
Calaveras County,1998-10-01,14050,13070,980,7
Colusa County,1998-10-01,8780,7640,1150,13.1
Contra Costa County,1998-10-01,477400,461800,15600,3.3
Del Norte County,1998-10-01,10040,9180,860,8.6
El Dorado County,1998-10-01,77200,73800,3500,4.5
Fresno County,1998-10-01,378200,327800,50300,13.3
Glenn County,1998-10-01,10860,9860,1000,9.2
Humboldt County,1998-10-01,60900,57400,3600,5.9
Imperial County,1998-10-01,58500,41100,17400,29.7
Inyo County,1998-10-01,7230,6720,510,7.1
Kern County,1998-10-01,278100,248100,30100,10.8
Kings County,1998-10-01,42200,36700,5500,13
Lake County,1998-10-01,23240,21280,1960,8.4
Lassen County,1998-10-01,11420,10730,700,6.1
Los Angeles County,1998-10-01,4577100,4266700,310500,6.8
Madera County,1998-10-01,51700,46400,5200,10.1
Marin County,1998-10-01,133100,130000,3100,2.3
Mariposa County,1998-10-01,6880,6450,430,6.2
Mendocino County,1998-10-01,43360,41010,2350,5.4
Merced County,1998-10-01,84700,74700,10000,11.8
Modoc County,1998-10-01,3990,3700,290,7.3
Mono County,1998-10-01,5610,5040,570,10.2
Monterey County,1998-10-01,182000,169800,12300,6.8
Napa County,1998-10-01,61300,59400,1900,3.1
Nevada County,1998-10-01,42940,40980,1960,4.6
Orange County,1998-10-01,1435600,1393100,42500,3
Placer County,1998-10-01,113800,109700,4100,3.6
Plumas County,1998-10-01,9510,8860,650,6.8
Riverside County,1998-10-01,670600,623300,47200,7
Sacramento County,1998-10-01,568600,541800,26800,4.7
San Benito County,1998-10-01,25900,23800,2100,8.1
San Bernardino County,1998-10-01,728700,688300,40400,5.5
San Diego County,1998-10-01,1327700,1279900,47900,3.6
San Francisco County,1998-10-01,415300,400200,15000,3.6
San Joaquin County,1998-10-01,249300,226800,22600,9.1
San Luis Obispo County,1998-10-01,108600,104200,4300,4
San Mateo County,1998-10-01,392500,382900,9600,2.4
Santa Barbara County,1998-10-01,196000,188400,7600,3.9
Santa Clara County,1998-10-01,950800,915500,35400,3.7
Santa Cruz County,1998-10-01,139800,132200,7600,5.4
Shasta County,1998-10-01,73400,68200,5200,7.1
Sierra County,1998-10-01,1630,1500,130,8
