county,date,labor.force,employed,unemployment,unemployment.rate
Stanislaus County,1990-01-01,172400,151000,21400,12.4
Sutter County,1990-01-01,30700,25500,5100,16.6
Tehama County,1990-01-01,19600,17650,1950,9.9
Trinity County,1990-01-01,5450,4420,1030,18.9
Tulare County,1990-01-01,135900,118600,17300,12.7
Tuolumne County,1990-01-01,18680,16970,1710,9.2
Ventura County,1990-01-01,358700,339300,19400,5.4
Yolo County,1990-01-01,71100,65100,6000,8.4
Yuba County,1990-01-01,20300,17800,2500,12.3
Alameda County,1991-01-01,673500,638800,34600,5.1
Alpine County,1991-01-01,540,510,30,5.6
Amador County,1991-01-01,11840,10840,990,8.4
Butte County,1991-01-01,78900,70400,8500,10.8
Calaveras County,1991-01-01,13840,12380,1460,10.5
Colusa County,1991-01-01,7780,5640,2140,27.5
Contra Costa County,1991-01-01,436300,413000,23300,5.3
Del Norte County,1991-01-01,9780,8430,1350,13.8
El Dorado County,1991-01-01,65300,60900,4400,6.7
Fresno County,1991-01-01,330300,280100,50300,15.2
Glenn County,1991-01-01,10800,8920,1890,17.5
Humboldt County,1991-01-01,56300,50200,6100,10.8
Imperial County,1991-01-01,48300,37100,11300,23.4
Inyo County,1991-01-01,7320,6590,730,10
Kern County,1991-01-01,260400,227100,33300,12.8
Kings County,1991-01-01,37600,31600,5900,15.7
Lake County,1991-01-01,19910,17490,2420,12.2
Lassen County,1991-01-01,10240,8690,1550,15.1
Los Angeles County,1991-01-01,4391300,4094300,297000,6.8
Madera County,1991-01-01,42200,36100,6000,14.2
Marin County,1991-01-01,130200,125500,4700,3.6
Mariposa County,1991-01-01,6110,5470,640,10.5
Mendocino County,1991-01-01,38480,33350,5130,13.3
Merced County,1991-01-01,75900,62600,13300,17.5
Modoc County,1991-01-01,3660,3020,650,17.8
Mono County,1991-01-01,6390,5940,450,7
Monterey County,1991-01-01,171400,140700,30700,17.9
Napa County,1991-01-01,54400,50900,3400,6.2
Nevada County,1991-01-01,37440,34740,2700,7.2
Orange County,1991-01-01,1317400,1254100,63300,4.8
Placer County,1991-01-01,90900,84800,6100,6.7
Plumas County,1991-01-01,9170,7450,1720,18.8
Riverside County,1991-01-01,550100,498300,51700,9.4
Sacramento County,1991-01-01,524800,489900,34900,6.7
San Benito County,1991-01-01,19600,15700,4000,20.4
San Bernardino County,1991-01-01,646500,595900,50600,7.8
San Diego County,1991-01-01,1210100,1138000,72200,6
San Francisco County,1991-01-01,402600,383000,19700,4.9
San Joaquin County,1991-01-01,225500,194300,31100,13.8
San Luis Obispo County,1991-01-01,94000,87800,6200,6.6
San Mateo County,1991-01-01,364600,351700,12900,3.5
Santa Barbara County,1991-01-01,194000,181200,12800,6.6
Santa Clara County,1991-01-01,846300,800400,45900,5.4
Santa Cruz County,1991-01-01,133000,117500,15500,11.7
Shasta County,1991-01-01,68200,59000,9300,13.6
Sierra County,1991-01-01,1530,1250,290,19
Siskiyou County,1991-01-01,19120,15440,3690,19.3
Solano County,1991-01-01,164100,152800,11300,6.9
Sonoma County,1991-01-01,209700,197600,12100,5.8
Stanislaus County,1991-01-01,180100,151200,28900,16
Sutter County,1991-01-01,33300,26700,6700,20.1
Tehama County,1991-01-01,20680,17650,3030,14.7
Trinity County,1991-01-01,5210,4000,1210,23.2
Tulare County,1991-01-01,147700,118200,29400,19.9
Tuolumne County,1991-01-01,19850,17790,2070,10.4
Ventura County,1991-01-01,367100,338000,29000,7.9
Yolo County,1991-01-01,76700,69300,7300,9.5
Yuba County,1991-01-01,21600,18100,3500,16.2
Alameda County,1992-01-01,674200,631700,42500,6.3
Alpine County,1992-01-01,570,530,40,7
Amador County,1992-01-01,12730,11420,1310,10.3
Butte County,1992-01-01,79600,69900,9700,12.2
Calaveras County,1992-01-01,14330,12480,1850,12.9
Colusa County,1992-01-01,7620,5270,2340,30.7
Contra Costa County,1992-01-01,439700,412400,27300,6.2
Del Norte County,1992-01-01,9680,8180,1500,15.5
El Dorado County,1992-01-01,66700,60900,5800,8.7
Fresno County,1992-01-01,337300,280900,56300,16.7
Glenn County,1992-01-01,10850,8640,2210,20.4
Humboldt County,1992-01-01,57900,51400,6500,11.2
Imperial County,1992-01-01,49200,37700,11500,23.4
Inyo County,1992-01-01,7050,6220,830,11.8
Kern County,1992-01-01,266200,225900,40400,15.2
Kings County,1992-01-01,38900,32100,6800,17.5
Lake County,1992-01-01,21300,18370,2930,13.8
Lassen County,1992-01-01,10750,9190,1560,14.5
Los Angeles County,1992-01-01,4427600,4007700,419900,9.5
Madera County,1992-01-01,44100,36800,7200,16.3
Marin County,1992-01-01,130300,124300,6000,4.6
Mariposa County,1992-01-01,6520,5760,760,11.7
