state.fips,county.fips,report.month.19,labor.force.19,unemployment.19,unemployment.rate.19,report.month.20,labor.force.20,unemployment.20,unemployment.rate.20,unemp.rate.diff
48,371,2019-09-01,6335,201,3.2,2020-09-01,6322,638,10.1,6.9
51,740,2019-09-01,44611,1621,3.6,2020-09-01,44934,4737,10.5,6.9
06,071,2019-09-01,968925,33858,3.5,2020-09-01,951933,98179,10.3,6.8
25,005,2019-09-01,302483,9876,3.3,2020-09-01,305025,30735,10.1,6.8
25,021,2019-09-01,393391,9635,2.4,2020-09-01,388116,35721,9.2,6.8
48,071,2019-09-01,19510,825,4.2,2020-09-01,19937,2197,11,6.8
48,215,2019-09-01,352630,21100,6,2020-09-01,360600,46316,12.8,6.8
06,001,2019-09-01,846894,22431,2.6,2020-09-01,806244,74892,9.3,6.7
42,057,2019-09-01,7860,299,3.8,2020-09-01,8072,848,10.5,6.7
48,047,2019-09-01,2575,130,5,2020-09-01,2684,315,11.7,6.7
06,013,2019-09-01,563330,15464,2.7,2020-09-01,536017,49781,9.3,6.6
06,067,2019-09-01,714699,23162,3.2,2020-09-01,703712,68917,9.8,6.6
48,105,2019-09-01,1628,54,3.3,2020-09-01,1642,162,9.9,6.6
48,335,2019-09-01,2333,84,3.6,2020-09-01,2384,242,10.2,6.6
48,403,2019-09-01,3716,229,6.2,2020-09-01,3695,473,12.8,6.6
49,037,2019-09-01,5881,214,3.6,2020-09-01,5886,598,10.2,6.6
01,047,2019-09-01,14742,761,5.2,2020-09-01,15800,1847,11.7,6.5
06,059,2019-09-01,1629470,40994,2.5,2020-09-01,1571557,142212,9,6.5
06,065,2019-09-01,1105907,44207,4,2020-09-01,1084074,114198,10.5,6.5
06,075,2019-09-01,588121,11268,1.9,2020-09-01,564602,47528,8.4,6.5
06,077,2019-09-01,328532,16021,4.9,2020-09-01,322952,36758,11.4,6.5
06,095,2019-09-01,209933,6708,3.2,2020-09-01,202625,19727,9.7,6.5
17,197,2019-09-01,354884,11185,3.2,2020-09-01,346996,33610,9.7,6.5
26,121,2019-09-01,76013,2785,3.7,2020-09-01,77115,7874,10.2,6.5
35,055,2019-09-01,14913,848,5.7,2020-09-01,15676,1919,12.2,6.5
38,079,2019-09-01,4486,236,5.3,2020-09-01,4478,529,11.8,6.5
05,017,2019-09-01,3289,198,6,2020-09-01,3167,392,12.4,6.4
25,001,2019-09-01,117049,3058,2.6,2020-09-01,112831,10169,9,6.4
35,017,2019-09-01,12059,562,4.7,2020-09-01,12185,1354,11.1,6.4
44,003,2019-09-01,90793,2501,2.8,2020-09-01,91144,8354,9.2,6.4
08,117,2019-09-01,21317,378,1.8,2020-09-01,18672,1517,8.1,6.3
13,061,2019-09-01,893,57,6.4,2020-09-01,909,115,12.7,6.3
25,027,2019-09-01,446865,12914,2.9,2020-09-01,449312,41492,9.2,6.3
41,041,2019-09-01,21243,718,3.4,2020-09-01,20223,1970,9.7,6.3
42,023,2019-09-01,2081,101,4.9,2020-09-01,2032,228,11.2,6.3
48,201,2019-09-01,2324803,86796,3.7,2020-09-01,2361727,235651,10,6.3
48,351,2019-09-01,5183,313,6,2020-09-01,5102,625,12.3,6.3
51,620,2019-09-01,3593,138,3.8,2020-09-01,3620,365,10.1,6.3
72,049,2019-09-01,884,31,3.5,2020-09-01,936,92,9.8,6.3
05,035,2019-09-01,21402,861,4,2020-09-01,21157,2166,10.2,6.2
05,119,2019-09-01,189092,6237,3.3,2020-09-01,187546,17784,9.5,6.2
06,029,2019-09-01,397235,24610,6.2,2020-09-01,369122,45661,12.4,6.2
25,003,2019-09-01,64397,1925,3,2020-09-01,64496,5927,9.2,6.2
35,029,2019-09-01,10585,870,8.2,2020-09-01,11181,1609,14.4,6.2
48,013,2019-09-01,21811,769,3.5,2020-09-01,22287,2152,9.7,6.2
48,227,2019-09-01,14099,442,3.1,2020-09-01,14530,1349,9.3,6.2
01,097,2019-09-01,188658,6066,3.2,2020-09-01,188935,17562,9.3,6.1
05,051,2019-09-01,41040,1452,3.5,2020-09-01,41668,4008,9.6,6.1
06,073,2019-09-01,1593792,45781,2.9,2020-09-01,1560049,140946,9,6.1
42,101,2019-09-01,725705,40442,5.6,2020-09-01,730070,85323,11.7,6.1
51,760,2019-09-01,119235,3682,3.1,2020-09-01,118624,10936,9.2,6.1
05,093,2019-09-01,17407,773,4.4,2020-09-01,17268,1793,10.4,6
06,109,2019-09-01,21389,771,3.6,2020-09-01,19401,1857,9.6,6
22,091,2019-09-01,4252,247,5.8,2020-09-01,4447,526,11.8,6
37,165,2019-09-01,11441,686,6,2020-09-01,12268,1474,12,6
47,157,2019-09-01,448743,17425,3.9,2020-09-01,455321,45297,9.9,6
48,457,2019-09-01,7134,396,5.6,2020-09-01,7164,831,11.6,6
48,479,2019-09-01,118808,4059,3.4,2020-09-01,118270,11098,9.4,6
49,013,2019-09-01,7756,245,3.2,2020-09-01,7798,714,9.2,6
01,013,2019-09-01,9297,298,3.2,2020-09-01,9879,899,9.1,5.9
08,047,2019-09-01,3866,77,2,2020-09-01,3974,312,7.9,5.9
37,065,2019-09-01,21184,1132,5.3,2020-09-01,21009,2348,11.2,5.9
41,051,2019-09-01,455572,12649,2.8,2020-09-01,449481,39181,8.7,5.9
48,061,2019-09-01,167073,8675,5.2,2020-09-01,166697,18515,11.1,5.9
48,219,2019-09-01,11219,316,2.8,2020-09-01,11198,979,8.7,5.9
48,321,2019-09-01,16756,953,5.7,2020-09-01,17075,1986,11.6,5.9
48,355,2019-09-01,166828,6621,4,2020-09-01,165148,16395,9.9,5.9
48,409,2019-09-01,29821,1595,5.3,2020-09-01,29487,3316,11.2,5.9
51,710,2019-09-01,112499,3581,3.2,2020-09-01,112030,10189,9.1,5.9
22,095,2019-09-01,19544,1108,5.7,2020-09-01,19578,2261,11.5,5.8
25,017,2019-09-01,923831,20456,2.2,2020-09-01,901444,72267,8,5.8
35,045,2019-09-01,52136,2865,5.5,2020-09-01,51069,5746,11.3,5.8
48,073,2019-09-01,20806,770,3.7,2020-09-01,21098,2013,9.5,5.8
48,115,2019-09-01,4584,184,4,2020-09-01,4783,469,9.8,5.8
48,391,2019-09-01,3149,116,3.7,2020-09-01,3138,297,9.5,5.8
48,415,2019-09-01,6709,204,3,2020-09-01,6571,580,8.8,5.8
54,047,2019-09-01,4427,346,7.8,2020-09-01,4322,589,13.6,5.8
05,003,2019-09-01,7591,353,4.7,2020-09-01,7382,770,10.4,5.7
06,003,2019-09-01,463,23,5,2020-09-01,457,49,10.7,5.7
06,115,2019-09-01,30366,1477,4.9,2020-09-01,28089,2979,10.6,5.7
48,079,2019-09-01,1121,33,2.9,2020-09-01,1095,94,8.6,5.7
48,175,2019-09-01,3260,102,3.1,2020-09-01,3272,288,8.8,5.7
51,700,2019-09-01,89518,2863,3.2,2020-09-01,88982,7959,8.9,5.7
72,105,2019-09-01,6932,595,8.6,2020-09-01,7014,1006,14.3,5.7
02,100,2019-09-01,1249,63,5,2020-09-01,1085,115,10.6,5.6
06,005,2019-09-01,15087,469,3.1,2020-09-01,14148,1228,8.7,5.6
17,043,2019-09-01,505330,12921,2.6,2020-09-01,489578,40306,8.2,5.6
17,143,2019-09-01,85452,3929,4.6,2020-09-01,82276,8407,10.2,5.6
24,033,2019-09-01,516247,18159,3.5,2020-09-01,493542,44842,9.1,5.6
35,027,2019-09-01,9049,375,4.1,2020-09-01,8648,843,9.7,5.6
39,093,2019-09-01,154252,5904,3.8,2020-09-01,136166,12746,9.4,5.6
48,179,2019-09-01,8124,284,3.5,2020-09-01,8177,746,9.1,5.6
48,183,2019-09-01,58637,2167,3.7,2020-09-01,57431,5351,9.3,5.6
54,005,2019-09-01,7489,378,5,2020-09-01,7411,785,10.6,5.6
06,099,2019-09-01,246178,11873,4.8,2020-09-01,237143,24345,10.3,5.5
17,093,2019-09-01,68257,1861,2.7,2020-09-01,65943,5411,8.2,5.5
20,173,2019-09-01,249392,7563,3,2020-09-01,251462,21430,8.5,5.5
26,049,2019-09-01,180056,7021,3.9,2020-09-01,182729,17138,9.4,5.5
34,001,2019-09-01,121817,5545,4.6,2020-09-01,112978,11414,10.1,5.5
35,049,2019-09-01,75124,2785,3.7,2020-09-01,71759,6600,9.2,5.5
44,005,2019-09-01,44209,1070,2.4,2020-09-01,43928,3480,7.9,5.5
48,167,2019-09-01,165994,6504,3.9,2020-09-01,167219,15782,9.4,5.5
48,199,2019-09-01,25328,1105,4.4,2020-09-01,24724,2451,9.9,5.5
