state.fips,county.fips,county,state.abbr,report.month.19,civilian.labor.force.19,unemployed.19,rate.unemployed.19,report.month.20,civilian.labor.force.20,unemployed.20,rate.unemployed.20,unemp.rate.diff
21,115,Johnson County,KY,2019-03-01,6819,494,7.2,2020-03-01,6758,629,9.3,2.1
22,017,Caddo Parish,LA,2019-03-01,102797,4698,4.6,2020-03-01,105224,7038,6.7,2.1
22,049,Jackson Parish,LA,2019-03-01,6720,283,4.2,2020-03-01,7018,441,6.3,2.1
22,053,Jefferson Davis Parish,LA,2019-03-01,12978,523,4,2020-03-01,13327,808,6.1,2.1
22,099,St. Martin Parish,LA,2019-03-01,22029,975,4.4,2020-03-01,22545,1466,6.5,2.1
22,105,Tangipahoa Parish,LA,2019-03-01,53752,2506,4.7,2020-03-01,55653,3768,6.8,2.1
32,009,Esmeralda County,NV,2019-03-01,417,14,3.4,2020-03-01,475,26,5.5,2.1
32,013,Humboldt County,NV,2019-03-01,8433,237,2.8,2020-03-01,8475,414,4.9,2.1
39,059,Guernsey County,OH,2019-03-01,18744,1145,6.1,2020-03-01,18465,1505,8.2,2.1
39,077,Huron County,OH,2019-03-01,28070,1915,6.8,2020-03-01,27977,2486,8.9,2.1
39,105,Meigs County,OH,2019-03-01,9323,699,7.5,2020-03-01,9143,879,9.6,2.1
42,031,Clarion County,PA,2019-03-01,17055,903,5.3,2020-03-01,17366,1291,7.4,2.1
42,079,Luzerne County,PA,2019-03-01,156827,9043,5.8,2020-03-01,159486,12620,7.9,2.1
42,089,Monroe County,PA,2019-03-01,82615,4381,5.3,2020-03-01,83818,6171,7.4,2.1
42,131,Wyoming County,PA,2019-03-01,13487,696,5.2,2020-03-01,13743,1008,7.3,2.1
48,321,Matagorda County,TX,2019-03-01,16701,860,5.1,2020-03-01,16971,1218,7.2,2.1
48,361,Orange County,TX,2019-03-01,36499,1795,4.9,2020-03-01,36308,2531,7,2.1
48,405,San Augustine County,TX,2019-03-01,3461,151,4.4,2020-03-01,3547,232,6.5,2.1
05,023,Cleburne County,AR,2019-03-01,9184,425,4.6,2020-03-01,9356,617,6.6,2
05,097,Montgomery County,AR,2019-03-01,2931,137,4.7,2020-03-01,3008,202,6.7,2
05,107,Phillips County,AR,2019-03-01,6453,383,5.9,2020-03-01,6465,511,7.9,2
05,135,Sharp County,AR,2019-03-01,5808,269,4.6,2020-03-01,5881,388,6.6,2
06,039,Madera County,CA,2019-03-01,61899,5259,8.5,2020-03-01,63175,6652,10.5,2
06,053,Monterey County,CA,2019-03-01,215483,21183,9.8,2020-03-01,220845,26169,11.8,2
08,089,Otero County,CO,2019-03-01,8209,398,4.8,2020-03-01,7965,539,6.8,2
13,017,Ben Hill County,GA,2019-03-01,5383,293,5.4,2020-03-01,5396,401,7.4,2
19,057,Des Moines County,IA,2019-03-01,19543,810,4.1,2020-03-01,19094,1163,6.1,2
21,135,Lewis County,KY,2019-03-01,4679,455,9.7,2020-03-01,4662,544,11.7,2
21,169,Metcalfe County,KY,2019-03-01,4055,184,4.5,2020-03-01,4080,265,6.5,2
21,175,Morgan County,KY,2019-03-01,4626,289,6.2,2020-03-01,4626,379,8.2,2
21,183,Ohio County,KY,2019-03-01,9804,556,5.7,2020-03-01,9565,734,7.7,2
21,233,Webster County,KY,2019-03-01,5708,261,4.6,2020-03-01,5444,359,6.6,2
21,237,Wolfe County,KY,2019-03-01,1981,155,7.8,2020-03-01,2017,197,9.8,2
22,001,Acadia Parish,LA,2019-03-01,23643,1080,4.6,2020-03-01,24204,1604,6.6,2
22,091,St. Helena Parish,LA,2019-03-01,4276,216,5.1,2020-03-01,4408,313,7.1,2
22,101,St. Mary Parish,LA,2019-03-01,19580,1064,5.4,2020-03-01,20236,1501,7.4,2
22,113,Vermilion Parish,LA,2019-03-01,23899,1076,4.5,2020-03-01,24410,1597,6.5,2
29,131,Miller County,MO,2019-03-01,12176,565,4.6,2020-03-01,12532,830,6.6,2
31,117,McPherson County,NE,2019-03-01,448,11,2.5,2020-03-01,463,21,4.5,2
39,131,Pike County,OH,2019-03-01,10951,748,6.8,2020-03-01,10842,952,8.8,2
42,037,Columbia County,PA,2019-03-01,33564,1610,4.8,2020-03-01,34179,2318,6.8,2
48,025,Bee County,TX,2019-03-01,9983,427,4.3,2020-03-01,9934,622,6.3,2
48,061,Cameron County,TX,2019-03-01,166421,8985,5.4,2020-03-01,168477,12451,7.4,2
